adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/xVMtv55caCEvBaV83DofmuZybmI.jpg,"[53, 28]",724209,en,Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,186.761,/vB8o2p4ETnrfiWEgVxHmHWP9yRl.jpg,2023-08-09,Heart of Stone,False,6.853,1483
False,/1X7vow16X7CnCoexXh4H4F2yDJv.jpg,"[80, 36, 18]",466420,en,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",185.89,/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,2023-10-18,Killers of the Flower Moon,False,7.517,2365
False,/o3Dnwh9zCxx7uDvILfqAnPq59Jf.jpg,[27],569367,en,Night Shift,"Amy begins her first night shift in a hotel with a murderous past. Witnessing terrifying events and trapped within a loop, Amy must find a way to escape the flesh obsessed murderer and save residents of the hotel.",152.945,/9IqVWHddRBrlQQshIIeckEzEayI.jpg,2018-09-07,Night Shift,False,5.7,18
False,/2QL5j6mB4ZpyBcVr0WO9H9MQGBu.jpg,"[28, 12, 14]",734253,hi,आदिपुरुष,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",179.799,/kpuOeWclbtLU414Txv8ZT6HoZ0k.jpg,2023-06-16,Adipurush,False,5.164,73
False,/csu96RxWGh2tReD9gYQRdUOSuUE.jpg,"[28, 18, 10752]",1076487,en,Warhorse One,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,175.581,/jP2ik17jvKiV5sGEknMFbZv7WAe.jpg,2023-06-30,Warhorse One,False,7.259,230
False,/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,"[12, 28]",335977,en,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",187.763,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,2023-06-28,Indiana Jones and the Dial of Destiny,False,6.621,2791
False,/5LtSjMNw6j3LkG29Oa4O0iY5U8.jpg,"[28, 12, 53]",872906,hi,जवान,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",175.199,/bilZfvrrM1YEICmj5DYVEGmGxod.jpg,2023-09-07,Jawan,False,7.232,190
False,/p9DKeXp6FPJtAQ1k13Z4zPWrCbN.jpg,[18],1058694,en,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",180.964,/eSatbygYZp8ooprBHZdb6GFZxGB.jpg,2023-10-19,Radical,False,8.509,235
False,/kIMYSzp1fH1H9adKplekLD9BuNi.jpg,"[16, 28, 878, 12]",1003581,en,Justice League: Warworld,"Until now, the Justice League has been a loose association of superpowered individuals. But when they are swept away to Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and the others must somehow unite to form an unbeatable resistance able to lead an entire planet to freedom.",164.425,/pHdSS5G3wDwJp6jWgMpbSjNiTbr.jpg,2023-07-25,Justice League: Warworld,False,7.185,205
False,/zRpLBiv0ZH5tXEue5523Owp4FgD.jpg,[27],878508,en,While We Sleep,"After observing a hauntingly familiar abnormal CAT scan of a 13 year old girl, radiologist Nina Evanko battles to find the source of the young girl's sleeping disorder. What she discovers is darker and stranger than she could have imagined.",247.426,/hLBY8JBpHLxnLyHX9DzzQoeqpOX.jpg,2021-10-01,While We Sleep,False,4.6,13
False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"[28, 12, 878]",505642,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",148.188,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022-11-09,Black Panther: Wakanda Forever,False,7.147,5916
False,/uivovSm1cRa3OHsgqfOzlHKpGtS.jpg,"[16, 35, 14]",1187998,zh,疯了！桂宝之三星夺宝,"Boo Kwai, a very naughty boy, accidentally arrives in a parallel universe thanks to one of his inventions.",184.362,/vwBowC3q6yVySuiCwandYnBgtwT.jpg,2022-07-29,Crazy Kwai Boo: Sanxingdui Spirited Away,False,7.25,2
